date,retail_price,discounted_price,rating,asin,marketplace,category
2025-06-18,2.51,,,B003JKFEL8,US,shampoo
2025-06-18,3.61,,,B002WTC38Y,US,shampoo
2025-06-18,4.27,,,B00ILBUEVK,US,shampoo
2025-06-18,6.12,,,B00J4G1ZRS,US,shampoo
2025-06-18,6.21,6.46,,B00O3092KW,US,shampoo
2025-06-18,7.59,,,B00ILBUG40,US,shampoo
2025-06-18,7.34,,,B003RW2K0G,US,shampoo
2025-06-18,8.4,,,B00DMMYJLY,US,shampoo
2025-06-18,10.2,,,B000S86OCM,US,shampoo
2025-06-18,13.73,,,B00XN1Q9T4,US,shampoo
2025-06-18,14.5,,,B0170GOCVO,US,shampoo
2025-06-18,15.57,,,B003JKDNQQ,US,shampoo
2025-06-18,13.14,,,B00IW2AYN6,US,shampoo
2025-06-18,8.21,,,B009G7Z3XM,US,shampoo
2025-06-18,17.91,,,B00F6IMIZG,US,shampoo
2025-06-18,21.07,,,B000VEJVCI,US,shampoo
2025-06-18,19.44,,,B002RT710Y,US,shampoo
2025-06-18,22.72,,,B003AY949G,US,shampoo
2025-06-18,26.21,,,B000N2KBVI,US,shampoo
2025-06-18,25.51,,,B002WTC3C0,US,shampoo
2025-06-18,30.23,,,B002CMLHF6,US,shampoo
2025-06-18,35.64,,,B002N5MI8C,US,shampoo
2025-06-18,33.99,,,B002WTC3BQ,US,shampoo
2025-06-18,34.62,,,B002N5MKLW,US,shampoo
2025-06-18,36.95,,,B001390336,US,shampoo
2025-06-18,40.99,,,B002CMLJMW,US,shampoo
2025-06-18,41.83,,,B005DRXW9G,US,shampoo
2025-06-18,39.7,,,B002N5MKM6,US,shampoo
2025-06-18,48.17,,,B002CMLS50,US,shampoo
2025-06-18,53.49,,,B0007CXYAE,US,shampoo
2025-06-18,58.68,,,B00IYYWXYA,US,shampoo
2025-06-18,60.43,,,B005CX1ZQS,US,shampoo
2025-06-18,66.49,,,B002CMLJM2,US,shampoo
2025-06-18,65.91,,,B00X0XHPNE,US,shampoo
2025-06-18,64.61,,,B000BGLUPW,US,shampoo
2025-06-18,78.24,,,B002N5MI7S,US,shampoo
2025-06-18,66.11,,,B000O7LHUQ,US,shampoo
2025-06-18,86.53,,,B000ZLVUYO,US,shampoo
2025-06-18,85.08,,,B006Z8BN02,US,shampoo
2025-06-18,86.05,,,B004JWR9PO,US,shampoo
2025-06-18,87.92,,,B002RT720I,US,shampoo
2025-06-18,89.94,,,B00DCEBD2U,US,shampoo
2025-06-18,109.5,,,B00KWT8JZC,US,shampoo
2025-06-18,102.27,,,B000F4GIP2,US,shampoo
2025-06-18,117.01,,,B00BBO926M,US,shampoo
2025-06-18,121.41,,,B002RT71CW,US,shampoo
2025-06-18,111.82,,,B0117QPB18,US,shampoo
2025-06-18,113.31,,,B00EPC9CD0,US,shampoo
2025-06-18,104.68,,,B00M9B66BU,US,shampoo
2025-06-18,137.83,,,B000X2DMEG,US,shampoo
2025-06-18,2.51,,,B003JKFEL8,US,conditioner
2025-06-18,3.61,,,B002WTC38Y,US,conditioner
2025-06-18,4.27,,,B00ILBUEVK,US,conditioner
2025-06-18,6.12,,,B00J4G1ZRS,US,conditioner
2025-06-18,6.21,6.46,,B00O3092KW,US,conditioner
2025-06-18,7.59,,,B00ILBUG40,US,conditioner
2025-06-18,7.34,,,B003RW2K0G,US,conditioner
2025-06-18,8.4,,,B00DMMYJLY,US,conditioner
2025-06-18,10.2,,,B000S86OCM,US,conditioner
2025-06-18,13.73,,,B00XN1Q9T4,US,conditioner
2025-06-18,14.5,,,B0170GOCVO,US,conditioner
2025-06-18,15.57,,,B003JKDNQQ,US,conditioner
2025-06-18,13.14,,,B00IW2AYN6,US,conditioner
2025-06-18,8.21,,,B009G7Z3XM,US,conditioner
2025-06-18,17.91,,,B00F6IMIZG,US,conditioner
2025-06-18,21.07,,,B000VEJVCI,US,conditioner
2025-06-18,19.44,,,B002RT710Y,US,conditioner
2025-06-18,22.72,,,B003AY949G,US,conditioner
2025-06-18,26.21,,,B000N2KBVI,US,conditioner
2025-06-18,25.51,,,B002WTC3C0,US,conditioner
2025-06-18,30.23,,,B002CMLHF6,US,conditioner
2025-06-18,35.64,,,B002N5MI8C,US,conditioner
2025-06-18,33.99,,,B002WTC3BQ,US,conditioner
2025-06-18,34.62,,,B002N5MKLW,US,conditioner
2025-06-18,36.95,,,B001390336,US,conditioner
2025-06-18,40.99,,,B002CMLJMW,US,conditioner
2025-06-18,41.83,,,B005DRXW9G,US,conditioner
2025-06-18,39.7,,,B002N5MKM6,US,conditioner
2025-06-18,48.17,,,B002CMLS50,US,conditioner
2025-06-18,53.49,,,B0007CXYAE,US,conditioner
2025-06-18,58.68,,,B00IYYWXYA,US,conditioner
2025-06-18,60.43,,,B005CX1ZQS,US,conditioner
2025-06-18,66.49,,,B002CMLJM2,US,conditioner
2025-06-18,65.91,,,B00X0XHPNE,US,conditioner
2025-06-18,64.61,,,B000BGLUPW,US,conditioner
2025-06-18,78.24,,,B002N5MI7S,US,conditioner
2025-06-18,66.11,,,B000O7LHUQ,US,conditioner
2025-06-18,86.53,,,B000ZLVUYO,US,conditioner
2025-06-18,85.08,,,B006Z8BN02,US,conditioner
2025-06-18,86.05,,,B004JWR9PO,US,conditioner
2025-06-18,87.92,,,B002RT720I,US,conditioner
